ocup,mes
75.38,5
75.38,5
76.24,9
75.38,5
55.80,8
70.22,4
70.22,4
76.31,6
76.31,6
75.38,5
80.17,10
76.31,6
75.38,5
70.22,4
75.38,5
75.38,5
75.38,5
64.47,3
75.38,5
42.43,1
80.17,10
75.38,5
75.38,5
56.16,2
75.38,5
75.38,5
42.43,1
64.58,7
75.38,5
76.31,6
75.38,5
75.38,5
76.31,6
75.38,5
75.38,5
80.17,10
75.38,5
76.31,6
75.38,5
75.38,5
75.38,5
75.38,5
76.31,6
75.38,5
76.31,6
76.31,6
75.38,5
76.31,6
75.38,5
76.24,9
76.31,6
75.38,5
70.22,4
42.43,1
76.31,6
75.38,5
70.22,4
75.38,5
75.38,5
75.38,5
55.80,8
75.38,5
76.31,6
70.22,4
75.38,5
55.80,8
76.31,6
75.38,5
76.31,6
80.17,10
75.38,5
70.22,4
75.38,5
75.38,5
75.38,5
55.80,8
76.31,6
75.38,5
76.31,6
75.38,5
75.38,5
75.38,5
73.95,11
76.31,6
76.31,6
76.31,6
75.38,5
76.31,6
76.31,6
70.22,4
75.38,5
42.43,1
76.31,6
75.38,5
75.38,5
76.31,6
75.38,5
76.31,6
76.31,6
56.16,2
76.24,9
70.22,4
76.31,6
75.38,5
76.31,6
76.31,6
75.38,5
75.38,5
75.38,5
64.58,7
70.22,4
75.38,5
76.31,6
61.47,12
76.31,6
76.31,6
76.31,6
75.38,5
75.38,5
75.38,5
42.43,1
76.31,6
76.31,6
76.31,6
75.38,5
75.38,5
75.38,5
75.38,5
75.38,5
75.38,5
75.38,5
42.43,1
75.38,5
75.38,5
64.47,3
76.31,6
75.38,5
75.38,5
80.17,10
76.31,6
76.31,6
75.38,5
75.38,5
75.38,5
75.38,5
75.38,5
75.38,5
75.38,5
75.38,5
75.38,5
76.31,6
80.17,10
76.31,6
75.38,5
75.38,5
73.95,11
75.38,5
75.38,5
76.31,6
70.22,4
56.16,2
75.38,5
75.38,5
75.38,5
75.38,5
56.16,2
64.47,3
75.38,5
76.31,6
80.17,10
75.38,5
75.38,5
75.38,5
76.31,6
76.31,6
76.31,6
75.38,5
75.38,5
75.38,5
42.43,1
75.38,5
75.38,5
76.31,6
80.17,10
56.16,2
75.38,5
75.38,5
76.31,6
75.38,5
76.31,6
75.38,5
75.38,5
75.38,5
75.38,5
75.38,5
76.31,6
76.31,6
76.31,6
75.38,5
75.38,5
75.38,5
76.31,6
75.38,5
64.47,3
75.38,5
75.38,5
75.38,5
76.31,6
70.22,4
75.38,5
76.31,6
75.38,5
70.22,4
61.47,12
76.31,6
75.38,5
75.38,5
76.31,6
56.16,2
76.31,6
76.31,6
75.38,5
76.31,6
75.38,5
76.31,6
75.38,5
75.38,5
76.31,6
80.17,10
70.22,4
76.31,6
75.38,5
75.38,5
76.31,6
70.22,4
75.38,5
75.38,5
76.31,6
75.38,5
76.31,6
75.38,5
75.38,5
